Host Name,Orbital Period (days),Planet Mass [Earth mass],Planet Radius [Earth radii],Planet Density (g/cm**3),Planet Equilibrium Temperature [K],Insolation Flux [Earth flux],Optical Magnitude [mag],Effective Temperature [K],Stellar Mass [Solar mass],Stellar Radius [Solar radii],Stellar Age [Gyr],Earth Similarity Index (ESI)
WASP-173 A,1.38665318,1172.7927,13.450999999999999,2.84,1880.0,1920.0,11.102,5800.0,1.05,1.11,6.78,
HD 1397,11.53533,131.89945,11.5,0.477,1228.0,356.0,7.781000000000001,5521.0,1.32,2.34,4.51,
HD 202772 A,3.308958,323.23311,17.317999999999998,0.343,2132.0,3440.0,8.227,6272.0,1.72,2.59,1.7,
K2-140,6.56918,323.86877000000004,12.25,0.963,957.0,188.5,12.624,5705.0,1.0,0.99,4.22,
EPIC 220674823,0.571331,7.72,1.82,8.5,2119.0,4293.0,12.102,5617.0,0.97,0.98,5.0,
EPIC 220674823,13.339079,5.8,2.73,2.0,741.0,64.0,12.102,5617.0,0.97,0.98,5.0,
HD 106315,9.55237,12.6,2.44,4.7,1153.0,240.0,8.951,6327.0,1.09,1.3,4.48,
HD 106315,21.05704,15.2,4.35,1.01,886.0,83.0,8.951,6327.0,1.09,1.3,4.48,
K2-284,4.795069,8.15,2.78,2.08,653.0,42.6,13.322000000000001,4140.0,0.63,0.61,0.12,
EPIC 246851721,6.180235,953.49,11.780999999999999,3.1,1401.0,642.0,11.439,6202.0,1.32,1.59,3.02,
WASP-166,5.44354,32.10083,7.062,0.54,1270.0,440.0,9.257,6050.0,1.19,1.22,2.1,
LHS 1140,3.777931,1.81,1.2819999999999998,4.7,438.0,6.16,14.18,3216.0,0.18,0.21,5.0,
TOI-421,5.19672,7.17,2.68,2.05,981.0,154.57,9.777999999999999,5325.0,0.85,0.87,9.4,
TOI-421,16.06819,16.42,5.09,0.685,674.0,34.32,9.777999999999999,5325.0,0.85,0.87,9.4,
NGTS-12,7.532806,66.10864000000001,11.747,0.223,1257.0,416.0,12.382,5690.0,1.02,1.59,9.4,
WD 1856+534,1.4079405,4386.054,10.4,21.4,163.0,0.181,16.958,4710.0,0.52,0.01,7.93,
TOI-824,1.392978,18.467,2.926,4.03,1253.0,412.0,11.152999999999999,4600.0,0.71,0.69,7.5,
TOI-122,5.07803,7.85,2.72,2.14,471.0,8.8,14.335999999999999,3403.0,0.31,0.33,2.0,
TOI-237,5.436098,2.67,1.44,4.91,388.0,3.7,14.754000000000001,3212.0,0.18,0.21,4.5,
TOI-954,3.6849729,55.30242,9.55,0.35,1526.0,1393.0,10.343,5710.0,1.2,1.89,6.14,
EPIC 246193072,12.4551225,82.6358,8.676,0.694,650.0,45.7,12.697000000000001,5282.0,0.9,0.82,1.8,
TOI-540,1.2391491,0.674,0.903,5.03,611.0,23.4,14.492,3216.0,0.16,0.19,1.1,
HAT-P-68,2.29840551,230.10892,12.015999999999998,0.727,1028.0,184.8,13.937000000000001,4508.0,0.68,0.67,11.1,
Kepler-1514,10.514181,1.74,1.176,5.88,1066.0,193.0,11.829,6145.0,1.2,1.29,2.9,
TOI-776,8.24661,4.0,1.85,3.4,514.0,11.5,11.54,3709.0,0.54,0.54,7.8,
TOI-776,15.6653,5.3,2.02,3.5,415.0,4.9,11.54,3709.0,0.54,0.54,7.8,
TOI-813,83.8911,36.4,6.71,0.662,610.0,23.1,10.322000000000001,5907.0,1.32,1.94,3.73,
EPIC 249893012,3.5951,8.75,1.95,6.39,1616.0,1037.0,11.427999999999999,5430.0,1.05,1.71,9.0,
EPIC 249893012,15.624,14.67,3.67,1.62,990.0,160.0,11.427999999999999,5430.0,1.05,1.71,9.0,
EPIC 249893012,35.747,10.18,3.94,0.91,752.0,53.0,11.427999999999999,5430.0,1.05,1.71,9.0,
TOI-172,9.47725,1722.6386,10.817,7.53,1198.0,299.0,11.193,5645.0,1.13,1.78,7.4,
NGTS-8,2.4997,295.5819,12.218,0.89,1345.0,503.0,13.68,5241.0,0.89,0.98,12.48,
NGTS-9,4.43527,921.707,11.994000000000002,2.93,1448.0,729.0,12.8,6330.0,1.34,1.38,0.96,
GJ 887,9.262,4.2,1.88,3.47,468.0,7.95,7.335,3688.0,0.49,0.47,2.88,
GJ 887,21.789,7.6,2.67,2.19,352.0,2.56,7.335,3688.0,0.49,0.47,2.88,
HATS-60,3.560829,210.40346,12.924000000000001,0.537,1528.0,903.9,12.640999999999998,5688.0,1.1,1.46,7.55,
HATS-61,7.817953,1080.622,13.395,2.47,1226.0,374.2,13.232999999999999,5542.0,1.08,1.66,8.9,
HATS-62,3.2768837,56.891569999999994,11.825,0.076,1237.0,387.4,14.015,5416.0,0.9,0.93,9.55,
HATS-63,3.0566527,305.1168,13.529000000000002,0.67,1398.0,634.1,13.892000000000001,5627.0,0.93,1.07,10.3,
HATS-64,4.908897,305.1168,18.82,0.245,1793.0,1711.0,12.924000000000001,6554.0,1.56,2.11,1.861,
HATS-65,3.105161,260.93843,16.825,0.3,1634.0,1178.0,12.497,6277.0,1.26,1.31,1.78,
HATS-66,3.1414391,1694.0339,15.815999999999999,2.34,1998.0,2637.0,14.095,6626.0,1.41,1.84,2.17,
HATS-67,1.6091788,460.8535,18.887,0.374,2193.0,3821.0,13.652999999999999,6594.0,1.44,1.44,0.51,
HATS-68,3.5862202,410.0007,13.809000000000001,0.856,1741.0,1521.0,12.276,6147.0,1.35,1.75,3.02,
HATS-69,2.2252577,183.38791,10.593,0.46,1296.0,466.6,13.945,5137.0,0.89,0.88,8.0,
TOI-125,4.65382,9.5,2.7260000000000004,2.57,1037.0,185.0,10.892000000000001,5320.0,0.86,0.85,6.8,
TOI-125,9.15059,6.63,2.759,1.73,828.0,77.59,10.892000000000001,5320.0,0.86,0.85,6.8,
